NOM_MUNICI;DEPARTAMEN;Codigo_DANE;REGION
ABEJORRAL;ANTIOQUIA;5002;Andina
ABREGO;NORTE DE SANTANDER;54003;Andina
ABRIAQUI;ANTIOQUIA;5004;Andina
ACACIAS;META;50006;Orinoquia
ACANDI;CHOCO;27006;Andina
ACEVEDO;HUILA;41006;Andina
ACHI;BOLIVAR;13006;Caribe
AGRADO;HUILA;41013;Andina
AGUA DE DIOS;CUNDINAMARCA;25001;Andina
AGUACHICA;CESAR;20011;Caribe
AGUADA;SANTANDER;68013;Andina
AGUADAS;CALDAS;17013;Andina
AGUAZUL;CASANARE;85010;Orinoquia
AGUSTIN CODAZZI;CESAR;20013;Caribe
AIPE;HUILA;41016;Andina
ALBAN;CUNDINAMARCA;25019;Andina
ALBAN (San Jose);NARINO;52019;Andina
ALBANIA_CAQ;CAQUETA;18029;Amazonia
ALBANIA_GUA;LA GUAJIRA;44035;Caribe
ALBANIA_SAN;SANTANDER;68020;Andina
ALCALA;VALLE DEL CAUCA;76020;Andina
ALDANA;NARINO;52022;Andina
ALEJANDRIA;ANTIOQUIA;5021;Andina
ALGARROBO;MAGDALENA;47030;Caribe
ALGECIRAS;HUILA;41020;Andina
ALMAGUER;CAUCA;19022;Andina
ALMEIDA;BOYACA;15022;Andina
ALPUJARRA;TOLIMA;73024;Andina
ALTAMIRA;HUILA;41026;Andina
ALTO BAUDO (Pie de Pato);CHOCO;27025;Andina
ALTOS DEL ROSARIO;BOLIVAR;13030;Caribe
ALVARADO;TOLIMA;73026;Andina
AMAGA;ANTIOQUIA;5030;Andina
AMALFI;ANTIOQUIA;5031;Andina
AMBALEMA;TOLIMA;73030;Andina
ANAPOIMA;CUNDINAMARCA;25035;Andina
ANCUYA;NARINO;52036;Andina
ANDALUCIA;VALLE DEL CAUCA;76036;Andina
ANDES;ANTIOQUIA;5034;Andina
ANGELOPOLIS;ANTIOQUIA;5036;Andina
ANGOSTURA;ANTIOQUIA;5038;Andina
ANOLAIMA;CUNDINAMARCA;25040;Andina
ANORI;ANTIOQUIA;5040;Andina
ANSERMA;CALDAS;17042;Andina
ANSERMANUEVO;VALLE DEL CAUCA;76041;Andina
ANZA;ANTIOQUIA;5044;Andina
ANZOATEGUI;TOLIMA;73043;Andina
APARTADO;ANTIOQUIA;5045;Andina
APIA;RISARALDA;66045;Andina
APULO;CUNDINAMARCA;25599;Andina
AQUITANIA;BOYACA;15047;Andina
ARACATACA;MAGDALENA;47053;Caribe
ARANZAZU;CALDAS;17050;Andina
ARATOCA;SANTANDER;68051;Andina
ARAUCA;ARAUCA;81001;Orinoquia
ARAUQUITA;ARAUCA;81065;Orinoquia
ARBELAEZ;CUNDINAMARCA;25053;Andina
ARBOLEDA (Berruecos);NARINO;52051;Andina
ARBOLEDAS;NORTE DE SANTANDER;54051;Andina
ARBOLETES;ANTIOQUIA;5051;Andina
ARCABUCO;BOYACA;15051;Andina
ARENAL;BOLIVAR;13042;Caribe
ARGELIA_ANT;ANTIOQUIA;5055;Andina
ARGELIA_CAU;CAUCA;19050;Andina
ARGELIA_VAL;VALLE DEL CAUCA;76054;Andina
ARIGUANI (El Dificil);MAGDALENA;47058;Caribe
ARJONA;BOLIVAR;13052;Caribe
ARMENIA_ANT;ANTIOQUIA;5059;Andina
ARMENIA_QUI;QUINDIO;63001;Andina
ARMERO (Guayabal);TOLIMA;73055;Andina
ARROYOHONDO;BOLIVAR;13062;Caribe
ASTREA;CESAR;20032;Caribe
ATACO;TOLIMA;73067;Andina
ATRATO (Yuto);CHOCO;27050;Andina
AYAPEL;CORDOBA;23068;Caribe
BAGADO;CHOCO;27073;Andina
BAHIA SOLANO (Mutis);CHOCO;27075;Andina
BAJO BAUDO  (Pizarro);CHOCO;27077;Andina
BALBOA_CAU;CAUCA;19075;Andina
BALBOA_RIS;RISARALDA;66075;Andina
BARANOA;ATLANTICO;8078;Caribe
BARAYA;HUILA;41078;Andina
BARBACOAS;NARINO;52079;Andina
BARBOSA_ANT;ANTIOQUIA;5079;Andina
BARBOSA_SAN;SANTANDER;68077;Andina
BARICHARA;SANTANDER;68079;Andina
BARRANCA DE UPIA;META;50110;Orinoquia
BARRANCABERMEJA;SANTANDER;68081;Andina
BARRANCAS;LA GUAJIRA;44078;Caribe
BARRANCO DE LOBA;BOLIVAR;13074;Caribe
BARRANCO MINA (Cor. Departamental);GUAINIA;94343;Amazonia
BARRANQUILLA (Distrito Especial, Industrial y Portuario);ATLANTICO;8001;Caribe
BECERRIL;CESAR;20045;Caribe
BELALCAZAR;CALDAS;17088;Andina
BELEN DE LOS ANDAQUIES;CAQUETA;18094;Amazonia
BELEN DE UMBRIA;RISARALDA;66088;Andina
BELEN_BOY;BOYACA;15087;Andina
BELEN_NAR;NARINO;52083;Andina
BELLO;ANTIOQUIA;5088;Andina
BELMIRA;ANTIOQUIA;5086;Andina
BELTRAN;CUNDINAMARCA;25086;Andina
BERBEO;BOYACA;15090;Andina
BETANIA;ANTIOQUIA;5091;Andina
BETEITIVA;BOYACA;15092;Andina
BETULIA_ANT;ANTIOQUIA;5093;Andina
BETULIA_SAN;SANTANDER;68092;Andina
BITUIMA;CUNDINAMARCA;25095;Andina
BOAVITA;BOYACA;15097;Andina
BOCHALEMA;NORTE DE SANTANDER;54099;Andina
BOGOTA, D.C.;SATA FE DE BOGOTA D.C.;11001;Andina
BOJACA;CUNDINAMARCA;25099;Andina
BOJAYA (Bellavista);CHOCO;27099;Andina
BOLIVAR_CAU;CAUCA;19100;Andina
BOLIVAR_SAN;SANTANDER;68101;Andina
BOLIVAR_VAL;VALLE DEL CAUCA;76100;Andina
BOSCONIA;CESAR;20060;Caribe
BOYACA;BOYACA;15104;Andina
BRICENO_ANT;ANTIOQUIA;5107;Andina
BRICENO_BOY;BOYACA;15106;Andina
BUCARAMANGA;SANTANDER;68001;Andina
BUCARASICA;NORTE DE SANTANDER;54109;Andina
BUENAVENTURA;VALLE DEL CAUCA;76109;Andina
BUENAVISTA_BOY;BOYACA;15109;Andina
BUENAVISTA_COR;CORDOBA;23079;Caribe
BUENAVISTA_QUI;QUINDIO;63111;Andina
BUENAVISTA_SUC;SUCRE;70110;Caribe
BUENOS AIRES;CAUCA;19110;Andina
BUESACO;NARINO;52110;Andina
BUGA;VALLE DEL CAUCA;76111;Andina
BUGALAGRANDE;VALLE DEL CAUCA;76113;Andina
BURITICA;ANTIOQUIA;5113;Andina
BUSBANZA;BOYACA;15114;Andina
CABRERA_CUN;CUNDINAMARCA;25120;Andina
CABRERA_SAN;SANTANDER;68121;Andina
CABUYARO;META;50124;Orinoquia
CACAHUAL (Cor. Departamental);GUAINIA;94886;Amazonia
CACERES;ANTIOQUIA;5120;Andina
CACHIPAY;CUNDINAMARCA;25123;Andina
CACHIRA;NORTE DE SANTANDER;54128;Andina
CACOTA;NORTE DE SANTANDER;54125;Andina
CAICEDO;ANTIOQUIA;5125;Andina
CAICEDONIA;VALLE DEL CAUCA;76122;Andina
CAIMITO;SUCRE;70124;Caribe
CAJAMARCA;TOLIMA;73124;Andina
CAJIBIO;CAUCA;19130;Andina
CAJICA;CUNDINAMARCA;25126;Andina
CALAMAR_BOL;BOLIVAR;13140;Caribe
CALAMAR_GUA;GUAVIARE;95015;Amazonia
CALARCA;QUINDIO;63130;Andina
CALDAS_ANT;ANTIOQUIA;5129;Andina
CALDAS_BOY;BOYACA;15131;Andina
CALDONO;CAUCA;19137;Andina
CALI;VALLE DEL CAUCA;76001;Andina
CALIFORNIA;SANTANDER;68132;Andina
CALIMA (El Darien);VALLE DEL CAUCA;76126;Andina
CALOTO;CAUCA;19142;Andina
CAMPAMENTO;ANTIOQUIA;5134;Andina
CAMPO DE LA CRUZ;ATLANTICO;8137;Caribe
CAMPOALEGRE;HUILA;41132;Andina
CAMPOHERMOSO;BOYACA;15135;Andina
CANALETE;CORDOBA;23090;Caribe
CANASGORDAS;ANTIOQUIA;5138;Andina
CANDELARIA_ATL;ATLANTICO;8141;Caribe
CANDELARIA_VAL;VALLE DEL CAUCA;76130;Andina
CANTAGALLO;BOLIVAR;13160;Caribe
CAPARRAPI;CUNDINAMARCA;25148;Andina
CAPITANEJO;SANTANDER;68147;Andina
CAQUEZA;CUNDINAMARCA;25151;Andina
CARACOLI;ANTIOQUIA;5142;Andina
CARAMANTA;ANTIOQUIA;5145;Andina
CARCASI;SANTANDER;68152;Andina
CAREPA;ANTIOQUIA;5147;Andina
CARMEN DE APICALA;TOLIMA;73148;Andina
CARMEN DE CARUPA;CUNDINAMARCA;25154;Andina
CARMEN DE VIBORAL;ANTIOQUIA;5148;Andina
CARMEN DEL DARIEN  (Curbarado);CHOCO;27150;Andina
CAROLINA;ANTIOQUIA;5150;Andina
CARTAGENA DE INDIAS (Distrito TurIstico y Cultural);BOLIVAR;13001;Caribe
CARTAGENA DEL CHAIRA;CAQUETA;18150;Amazonia
CARTAGO;VALLE DEL CAUCA;76147;Andina
CARURU;VAUPES;97161;Amazonia
CASABIANCA;TOLIMA;73152;Andina
CASTILLA LA NUEVA;META;50150;Orinoquia
CAUCASIA;ANTIOQUIA;5154;Andina
CEPITA;SANTANDER;68160;Andina
CERETE;CORDOBA;23162;Caribe
CERINZA;BOYACA;15162;Andina
CERRITO;SANTANDER;68162;Andina
CERRO DE SAN ANTONIO;MAGDALENA;47161;Caribe
CERTEGUI;CHOCO;27160;Andina
CHACHAGUI;NARINO;52240;Andina
CHAGUANI;CUNDINAMARCA;25168;Andina
CHALAN;SUCRE;70230;Caribe
CHAMEZA;CASANARE;85015;Orinoquia
CHAPARRAL;TOLIMA;73168;Andina
CHARALA;SANTANDER;68167;Andina
CHARTA;SANTANDER;68169;Andina
CHIA;CUNDINAMARCA;25175;Andina
CHIGORODO;ANTIOQUIA;5172;Andina
CHIMA_COR;CORDOBA;23168;Caribe
CHIMA_SAN;SANTANDER;68176;Andina
CHIMICHAGUA;CESAR;20175;Caribe
