;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;TOTAL;;;;;;;;;;;;;;;;CABECERA;;;;;;;;;;;;;;;;RESTO;;;;;;;;;;;;;;;
DP;DPNOM;DPMP;MPIO;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
05;Antioquia;05001;Medell°n;2.214.494;2.239.003;2.265.244;2.291.378;2.317.336;2.343.049;2.368.282;2.393.011;2.417.325;2.441.123;2.464.322;2.486.723;2.508.452;2.529.403;2.549.537;2.569.007;2.175.681;2.201.335;2.228.669;2.255.845;2.282.794;2.309.446;2.335.568;2.361.134;2.386.233;2.410.765;2.434.647;2.457.680;2.479.990;2.501.470;2.522.081;2.541.978;38.813;37.668;36.575;35.533;34.542;33.603;32.714;31.877;31.092;30.358;29.675;29.043;28.462;27.933;27.456;27.029
05;Antioquia;05002;Abejorral;20.249;20.113;20.022;19.930;19.853;19.750;19.672;19.570;19.478;19.382;19.290;19.195;19.096;18.991;18.882;18.779;6.271;6.291;6.317;6.351;6.391;6.439;6.493;6.540;6.587;6.636;6.681;6.724;6.765;6.802;6.835;6.865;13.978;13.822;13.705;13.579;13.462;13.311;13.179;13.030;12.891;12.746;12.609;12.471;12.331;12.189;12.047;11.914
05;Antioquia;05004;Abriaqu°;2.690;2.636;2.570;2.504;2.458;2.397;2.336;2.290;2.231;2.175;2.128;2.075;2.019;1.971;1.918;1.870;858;849;840;831;821;811;800;788;776;764;751;738;724;710;695;680;1.832;1.787;1.730;1.673;1.637;1.586;1.536;1.502;1.455;1.411;1.377;1.337;1.295;1.261;1.223;1.190
05;Antioquia;05021;Alejandr°a;3.816;3.789;3.747;3.724;3.688;3.652;3.618;3.575;3.550;3.502;3.466;3.435;3.393;3.361;3.307;3.278;1.896;1.884;1.874;1.864;1.854;1.845;1.837;1.830;1.824;1.818;1.812;1.808;1.804;1.801;1.799;1.797;1.920;1.905;1.873;1.860;1.834;1.807;1.781;1.745;1.726;1.684;1.654;1.627;1.589;1.560;1.508;1.481
05;Antioquia;05030;Amag†;27.155;27.455;27.709;27.950;28.192;28.433;28.664;28.897;29.117;29.339;29.555;29.770;29.980;30.181;30.376;30.561;14.070;14.411;14.719;15.011;15.294;15.568;15.827;16.076;16.312;16.540;16.757;16.973;17.174;17.370;17.551;17.730;13.085;13.044;12.990;12.939;12.898;12.865;12.837;12.821;12.805;12.799;12.798;12.797;12.806;12.811;12.825;12.831
05;Antioquia;05031;Amalfi;20.525;20.665;20.826;20.985;21.138;21.295;21.449;21.615;21.768;21.932;22.088;22.253;22.414;22.567;22.714;22.860;10.936;11.068;11.209;11.347;11.479;11.611;11.739;11.869;11.991;12.116;12.236;12.359;12.477;12.589;12.696;12.798;9.589;9.597;9.617;9.638;9.659;9.684;9.710;9.746;9.777;9.816;9.852;9.894;9.937;9.978;10.018;10.062
05;Antioquia;05034;Andes;41.591;41.988;42.428;42.852;43.290;43.715;44.149;44.573;44.994;45.417;45.814;46.221;46.621;47.003;47.384;47.747;19.176;19.509;19.864;20.212;20.568;20.918;21.274;21.623;21.972;22.325;22.667;23.016;23.365;23.705;24.046;24.380;22.415;22.479;22.564;22.640;22.722;22.797;22.875;22.950;23.022;23.092;23.147;23.205;23.256;23.298;23.338;23.367
05;Antioquia;05036;Angel¢polis;7.641;7.765;7.894;8.034;8.151;8.287;8.415;8.551;8.680;8.806;8.946;9.082;9.216;9.353;9.492;9.631;4.150;4.287;4.423;4.563;4.674;4.797;4.907;5.018;5.115;5.203;5.299;5.384;5.461;5.535;5.604;5.667;3.491;3.478;3.471;3.471;3.477;3.490;3.508;3.533;3.565;3.603;3.647;3.698;3.755;3.818;3.888;3.964
05;Antioquia;05038;Angostura;12.519;12.417;12.294;12.175;12.046;11.930;11.811;11.695;11.579;11.464;11.354;11.240;11.139;11.040;10.932;10.832;2.096;2.066;2.036;2.007;1.979;1.951;1.924;1.897;1.872;1.847;1.822;1.798;1.775;1.753;1.731;1.710;10.423;10.351;10.258;10.168;10.067;9.979;9.887;9.798;9.707;9.617;9.532;9.442;9.364;9.287;9.201;9.122
05;Antioquia;05040;Anor°;15.016;15.190;15.407;15.605;15.812;16.025;16.237;16.447;16.658;16.870;17.086;17.304;17.521;17.737;17.962;18.166;5.280;5.435;5.588;5.740;5.890;6.039;6.187;6.333;6.477;6.621;6.763;6.903;7.042;7.180;7.316;7.451;9.736;9.755;9.819;9.865;9.922;9.986;10.050;10.114;10.181;10.249;10.323;10.401;10.479;10.557;10.646;10.715
05;Antioquia;05042;SantafÇ de Antioquia;22.903;23.031;23.190;23.354;23.522;23.688;23.858;24.025;24.202;24.369;24.549;24.724;24.905;25.067;25.239;25.395;13.636;13.851;14.062;14.270;14.474;14.674;14.871;15.064;15.253;15.439;15.621;15.799;15.974;16.145;16.312;16.476;9.267;9.180;9.128;9.084;9.048;9.014;8.987;8.961;8.949;8.930;8.928;8.925;8.931;8.922;8.927;8.919
05;Antioquia;05044;Anza;7.415;7.433;7.451;7.468;7.484;7.500;7.515;7.529;7.543;7.556;7.568;7.580;7.591;7.601;7.610;7.619;1.155;1.168;1.180;1.192;1.204;1.214;1.225;1.234;1.244;1.252;1.260;1.268;1.275;1.282;1.288;1.293;6.260;6.265;6.271;6.276;6.280;6.286;6.290;6.295;6.299;6.304;6.308;6.312;6.316;6.319;6.322;6.326
