NOM_MUNICI;DEPARTAMEN;Codigo_DAN
ABEJORRAL;ANTIOQUIA;5002
ABREGO;NORTE DE SANTANDER;54003
ABRIAQUI;ANTIOQUIA;5004
ACACIAS;META;50006
ACANDI;CHOCO;27006
ACEVEDO;HUILA;41006
ACHI;BOLIVAR;13006
AGRADO;HUILA;41013
AGUA DE DIOS;CUNDINAMARCA;25001
AGUACHICA;CESAR;20011
AGUADA;SANTANDER;68013
AGUADAS;CALDAS;17013
AGUAZUL;CASANARE;85010
AGUSTIN CODAZZI;CESAR;20013
AIPE;HUILA;41016
ALBAN;CUNDINAMARCA;25019
ALBAN (San Jose);NARINO;52019
ALBANIA_CAQ;CAQUETA;18029
ALBANIA_GUA;LA GUAJIRA;44035
ALBANIA_SAN;SANTANDER;68020
ALCALA;VALLE DEL CAUCA;76020
ALDANA;NARINO;52022
ALEJANDRIA;ANTIOQUIA;5021
ALGARROBO;MAGDALENA;47030
ALGECIRAS;HUILA;41020
ALMAGUER;CAUCA;19022
ALMEIDA;BOYACA;15022
ALPUJARRA;TOLIMA;73024
ALTAMIRA;HUILA;41026
ALTO BAUDO (Pie de Pato);CHOCO;27025
ALTOS DEL ROSARIO;BOLIVAR;13030
ALVARADO;TOLIMA;73026
AMAGA;ANTIOQUIA;5030
AMALFI;ANTIOQUIA;5031
AMBALEMA;TOLIMA;73030
ANAPOIMA;CUNDINAMARCA;25035
ANCUYA;NARINO;52036
ANDALUCIA;VALLE DEL CAUCA;76036
ANDES;ANTIOQUIA;5034
ANGELOPOLIS;ANTIOQUIA;5036
ANGOSTURA;ANTIOQUIA;5038
ANOLAIMA;CUNDINAMARCA;25040
ANORI;ANTIOQUIA;5040
ANSERMA;CALDAS;17042
ANSERMANUEVO;VALLE DEL CAUCA;76041
ANZA;ANTIOQUIA;5044
ANZOATEGUI;TOLIMA;73043
APARTADO;ANTIOQUIA;5045
APIA;RISARALDA;66045
APULO;CUNDINAMARCA;25599
AQUITANIA;BOYACA;15047
ARACATACA;MAGDALENA;47053
ARANZAZU;CALDAS;17050
ARATOCA;SANTANDER;68051
ARAUCA;ARAUCA;81001
ARAUQUITA;ARAUCA;81065
ARBELAEZ;CUNDINAMARCA;25053
ARBOLEDA (Berruecos);NARINO;52051
ARBOLEDAS;NORTE DE SANTANDER;54051
ARBOLETES;ANTIOQUIA;5051
ARCABUCO;BOYACA;15051
ARENAL;BOLIVAR;13042
ARGELIA_ANT;ANTIOQUIA;5055
ARGELIA_CAU;CAUCA;19050
ARGELIA_VAL;VALLE DEL CAUCA;76054
ARIGUANI (El Dificil);MAGDALENA;47058
ARJONA;BOLIVAR;13052
ARMENIA_ANT;ANTIOQUIA;5059
ARMENIA_QUI;QUINDIO;63001
ARMERO (Guayabal);TOLIMA;73055
ARROYOHONDO;BOLIVAR;13062
ASTREA;CESAR;20032
ATACO;TOLIMA;73067
ATRATO (Yuto);CHOCO;27050
AYAPEL;CORDOBA;23068
BAGADO;CHOCO;27073
BAHIA SOLANO (Mutis);CHOCO;27075
BAJO BAUDO  (Pizarro);CHOCO;27077
BALBOA_CAU;CAUCA;19075
BALBOA_RIS;RISARALDA;66075
BARANOA;ATLANTICO;8078
BARAYA;HUILA;41078
BARBACOAS;NARINO;52079
BARBOSA_ANT;ANTIOQUIA;5079
BARBOSA_SAN;SANTANDER;68077
BARICHARA;SANTANDER;68079
BARRANCA DE UPIA;META;50110
BARRANCABERMEJA;SANTANDER;68081
BARRANCAS;LA GUAJIRA;44078
BARRANCO DE LOBA;BOLIVAR;13074
BARRANCO MINA (Cor. Departamental);GUAINIA;94343
BARRANQUILLA (Distrito Especial, Industrial y Portuario);ATLANTICO;8001
BECERRIL;CESAR;20045
BELALCAZAR;CALDAS;17088
BELEN DE LOS ANDAQUIES;CAQUETA;18094
BELEN DE UMBRIA;RISARALDA;66088
BELEN_BOY;BOYACA;15087
BELEN_NAR;NARINO;52083
BELLO;ANTIOQUIA;5088
BELMIRA;ANTIOQUIA;5086
BELTRAN;CUNDINAMARCA;25086
BERBEO;BOYACA;15090
BETANIA;ANTIOQUIA;5091
BETEITIVA;BOYACA;15092
BETULIA_ANT;ANTIOQUIA;5093
BETULIA_SAN;SANTANDER;68092
BITUIMA;CUNDINAMARCA;25095
BOAVITA;BOYACA;15097
BOCHALEMA;NORTE DE SANTANDER;54099
BOGOTA, D.C.;SATA FE DE BOGOTA D.C.;11001
BOJACA;CUNDINAMARCA;25099
BOJAYA (Bellavista);CHOCO;27099
BOLIVAR_CAU;CAUCA;19100
BOLIVAR_SAN;SANTANDER;68101
BOLIVAR_VAL;VALLE DEL CAUCA;76100
BOSCONIA;CESAR;20060
BOYACA;BOYACA;15104
BRICENO_ANT;ANTIOQUIA;5107
BRICENO_BOY;BOYACA;15106
BUCARAMANGA;SANTANDER;68001
BUCARASICA;NORTE DE SANTANDER;54109
BUENAVENTURA;VALLE DEL CAUCA;76109
BUENAVISTA_BOY;BOYACA;15109
BUENAVISTA_COR;CORDOBA;23079
BUENAVISTA_QUI;QUINDIO;63111
BUENAVISTA_SUC;SUCRE;70110
BUENOS AIRES;CAUCA;19110
BUESACO;NARINO;52110
BUGA;VALLE DEL CAUCA;76111
